id,category,starttime,weekdays,duration,level,formacion
1,'tap','12:00:00','{"1","3"}',60,10
2,'tap','12:00:00','{"1","3"}',60,10
3,'tap','12:00:00','{"4"}',75,10
4,'tap','12:00:00','{"5"}',90,10
5,'tap','12:00:00','{"5"}',90,10
6,'tap','12:00:00','{"6"}',60,10
7,'tap','12:00:00','{"1"}',90,20
8,'tap','12:00:00','{"3"}',90,20
9,'tap','12:00:00','{"1"}',75,20
10,'tap','12:00:00','{"2","4"}',75,20
11,'tap','12:00:00','{"3"}',75,20
12,'tap','12:00:00',5,90,20
13,'tap','12:00:00','{"5"}',90,20
14,'tap','12:00:00','{"6"}',90,20
15,'tap','12:00:00','{"1","3"}',75,30
16,'tap','12:00:00','{"1","3"}',90,30
17,'tap','12:00:00','{"1","3"}',75,30
18,'tap','12:00:00','{"2","4"}',75,30
19,'tap','12:00:00','{"2","4"}',90,30
20,'tap','12:00:00','{"2","4"}',75,30
21,'tap','12:00:00','{"3"}',90,30
22,'tap','12:00:00','{"3"}',90,30
23,'tap','12:00:00','{"1","3"}',75,40
24,'tap','12:00:00','{"1","3"}',75,40
25,'tap','12:00:00','{"1","3"}',90,40
26,'tap','12:00:00','{"1","3"}',90,40
27,'tap','12:00:00','{"2","4"}',75,40
28,'tap','12:00:00','{"2","4"}',75,40
29,'tap','12:00:00','{"2"}',90,40
22,'tap','12:00:00','{"3"}',90,30
23,'tap','12:00:00','{"1","3"}',75,40
24,'tap','12:00:00','{"1","3"}',75,40
25,'tap','12:00:00','{"1","3"}',90,40
26,'tap','12:00:00','{"1","3"}',90,40
27,'tap','12:00:00','{"2","4"}',75,40
28,'tap','12:00:00','{"2","4"}',75,40
29,'tap','12:00:00','{"2"}',90,40
30,'tap','12:00:00','{"1","3"}',75,40
31,'tap','12:00:00','{"1","3"}',75,40
32,'tap','12:00:00','{"1","3"}',90,40
33,'tap','12:00:00','{"1","3"}',90,40
34,'tap','12:00:00','{"2","4"}',75,40
35,'tap','12:00:00','{"2","4"}',75,40
36,'tap','12:00:00','{"2"}',90,40
37,'tap','12:00:00','{"5"}',120,40
38,'tap','12:00:00','{"6"}',90,40
39,'tap','12:00:00','{"1","3"}',75,50
40,'tap','12:00:00','{"1","3"}',75,50
41,'tap','12:00:00','{"1"}',120,50
42,'tap','12:00:00','{"1","3"}',90,50
43,'tap','12:00:00','{"2","4"}',75,50
44,'tap','12:00:00','{"2","4"}',75,50
45,'tap','12:00:00','{"3"}',120,50
46,'tap','12:00:00','{"3"}',90,50
47,'tapimprov','12:00:00','{"3"}',90
48,'tapcajon','12:00:00','{"5"}',90
49,'tapmusic','12:00:00','{"2"}',75
50,'tapsinging','12:00:00','{"2"}',75
51,'tapmusic','12:00:00','{"4"}',90
52,'tapmusic','12:00:00','{"4"}',90
53,'tap','12:00:00','{"5"}',90,10
54,'tapkids','12:00:00','{"1"}',60,20
55,'tapkids','12:00:00','{"1"}',90,20
56,'tapkids','12:00:00','{"3"}',90,30
57,'tapcompany','12:00:00','{"1"}',120);